id,VendorName,NonProfitPrivate,WebsiteAddress,Description,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
144,NTUC Eldercare SilverCircle (NTUC SilverCircle@Jurong Central),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Jurong Central,Blk 402 Jurong West Street 42,,Singapore 640402,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",South West,ecare@ntuceldercare.org.sg,6561 4989
145,NTUC Eldercare SilverCircle (NTUC SilverCircle@Serangoon Central),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Serangoon Central,"Blk 264, Serangoon Central",#01-207,Singapore 550264,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",North East,ecare@ntuceldercare.org.sg,6289 8581
146,NTUC Eldercare SilverCircle (NTUC SilverCircle@Taman Jurong),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Taman Jurong,Blk 349 Corporation Drive,,Singapore 610349,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",South West,ecare@ntuceldercare.org.sg,6268 3108
147,NTUC Eldercare SilverCircle (NTUC SilverCircle@Dakota Crescent),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Dakota Crescent,Blk 62 Dakota Crescent,,Singapore 390062,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",Central,ecare@ntuceldercare.org.sg,6346 5530
148,NTUC Eldercare SilverCircle (NTUC SilverCircle@Fengshan),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Fengshan,Blk 91 Bedok North Street 4,,Singapore 460091,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",South East,ecare@ntuceldercare.org.sg,6242 8160
149,PERTAPISÊ Senior Citizens Fellowship Home,Non-Profit ,http://www.pertapis.sg/,"The PERTAPIS Senior Citizen Fellowship Home was set up with the assistance of the National Council of Social Services (NCSS) and the Ministry of Social and Family Development (MSF), to meet the demands of providing a sheltered home for elderly destitute. The Home has residential facilities catering to the needs of 40 ambulant senior citizens.","Recreational Activities, Befriending elderly",Depends,Depends,NA,$0 ,PERTAPISÊ Senior Citizens Fellowship Home,Blk 222 Lorong 8 Toa Payoh,,Singapore 310222,Not Provided,Central,enquiry@pertapis.org.sg,6252 1159
150,Kampong Kapor Family Service Centre,Non-Profit ,www.kkfsc.org.sg,"Kampong Kapor Family Service Centre (KKFSC) services a rather unique geographical  area mainly covering 2 key estates: Jalan Besar and Kampong Glam.  Nearly 16,000 units of 1 to 5 room HDB flats occupy these 2 areas and about 4000 of them are 1 and 2 room flats.  The precinct is home to many races and nationalities and we have a big proportion of residents 60 years old and above living in this community.  The majority of our clients are the elderly.

The Centre provides inter-generational activities, support and care for the residents of the 21 blocks of flats in Kampong Glam. The spirit of PEACE-Connect is one ""of the residents, for the residents and by the residents"" aimed","Assisting in playing of card games, group games, movie screening and birthday celebrations with the elderlys. Organize English Classes, plan outings and celebrations",Weekly,Depends on Programmes,NA,$0 ,Kampong Kapor Family Service Centre,Blk 2 Kitchener Road,#03-89,Singapore 200002,"Mon, Wed, Fri, 9.00am Ð 6.30pm
Tues & Thurs, 9.00am Ð 9.00pm",Central,volunteer@kkfsc.org.sg,6299 7662
151,Peace Connect Neighbourhood Link,Non-Profit ,http://www.pcnl.org/,"As a Neighbourhood Link (NL), she provides inter-generational activities, support and care for the residents of the 21 blocks of flats in Kampong Glam. The spirit of PEACE-Connect is one ""of the residents, for the residents and by the residents"" aimed:

- To further build a sense of communal belonging within the constituency 
- To stimulate voluteerism and self-help among the residents;
- To encourage gainful employment among the able elderlies;
- To open doors of opportunites for self-development through public education; - To inculcate good and healthy social lifestyle in both individuals and families.","Assist in the routine activities in the Centre;
To be part of the home-visit team;
 provide escort service for hospital appointments",Depends on Volunteers and events,Depends on Programmes,NA,$0 ,Peace Connect Neighbourhood Link,Blk 8 North Bridge Road,#01-4102,Singapore 190008,Monday to Friday: 9am to 530pm,Central,cm@pcnl.org,63920460Ê
152,Singapore Red Cross Society,Non-Profit ,http://www.redcross.org.sg/articles/volunteer,"The Singapore Red Cross (SRC) was founded on 30 September 1949 and was subsequently incorporated by an Act of Parliament on 6 April 1973. It is an independent humanitarian organisation that is non-political, non-religious and is part of the International Federation of the Red Cross. SRC adheres to the  Geneva Convention (1949) and bases its work on the fundamental principles of humanity, impartiality, independence, neutrality, unity, universality and voluntary service.","Blood Mobile Aide
General Blood Volunteer (Events)
Tele-Recruiter",Depends on whether volunteer is serving full or half shift,"Half shift 8am to 2pm, 1pm to 7pm ",NA,$0 ,"The Volunteer Development Department
(Volunteer Application)
Red Cross House",15 Penang Lane,,Singapore 238486,Not Provided,Central,khairani.arahman@redcross.org.sg, 6664 0571
153,Sunlove Home,Non-Profit ,www.sunlovehome.org.sg,"Sunlove Home is one of the few charitable Homes in Singapore, which gives care to patients ranging in age from 22 to 75 years. The social stigma related to the intellectually-infirmed has caused families to shun their loved ones. The aim of the Home is to educate the public about various forms of mental illness and to eradicate the misconception that mental patients are violent and patients cannot be restored to health. The truth is that even serious mental illness like Schizophrenia can be treated and with early diagnosis, 70% will respond to treatment. The Home has opened its doors to give insight into volunteering opportunities thus aiming to remove the social stigma.","Assisting in group games, morning exercises. Helping out in occupational therapy sessions like sewing",Daily,Anytime,NA,$0 ,Sunlove Home,70 Buangkok View,Buangkok Green Medical Park,Singapore 534190,Monday to Friday: 9am to 5pm,Central,sunlovehome@hotmail.com, 6387 3548
154,Sunlove Chai Chee Neighbourhood Link,Non-Profit ,www.sunlovehome.org.sg,"First Stop Centre for residents to obtain information on social services, interact and form mutual help groups, have social activities  and programmes that promote inter-generational bonding","Assisting in group games, morning exercises. Helping out in occupational therapy sessions like sewing",Daily,Anytime,NA,$0 ,Sunlove Chai Chee Senior Activity Centre,Blk 31 Chai Chee Avenue,#01-150,Singapore 461031,"Mon Ð Fri: 6am - 8pm
Sat : 8am - 8pm
Sun : 10am-8pm",South East,sunlovehome@hotmail.com,6876 0153
155,Sunlove Marisiling Neighbourhood Link,Non-Profit ,www.sunlovehome.org.sg,"First Stop Centre for residents to obtain information on social services, interact and form mutual help groups, have social activities  and programmes that promote inter-generational bonding","Assisting in group games, morning exercises. Helping out in occupational therapy sessions like sewing",Daily,Anytime,NA,$0 ,Sunlove Marsiling Senior Activity Centre ,Blk 3 Marsiling Road,#01-5137,Singapore 730003,"Mon Ð Fri: 6am - 8pm
Sat : 8am - 8pm
Sun : 10am-8pm",North West,sunlovehome@hotmail.com,Not Provided
156,United Medicare Centre (UMC @ Toa Payoh),Private,www.unitedmedicare.com.sg,"United Medicare Centre was officially opened in 2003 by Minister of Health Khaw Boon Wan. Singapore's first purpose-built private nursing home initiated by the Ministry of Health, this 240 bedded Medicare Centre took 18 months from ground breaking to completion. That very same year, The United Medicare Centre was also approved as a provider for the portable subsidy scheme by the Ministry of Health in recognition of our work and commitment to provide the best healthcare services to our elderly residence.

At the United Medicare Centre, we are staffed by a group of committed healthcare professionals which includes doctors, nurses, therapists and support service teams. Our total medical staff is approximately 100 strong.","Befriending an elderly
Gardening activities
Haircutting
Sewing",Depends,Depends,NA,$0 ,UMC @ Toa Payoh,170 Toa Payoh Lorong 6,,Singapore 319400,Monday to Friday: 9am to 5pm,Central,admin@unitedmedicare.com.sg,"6258 4848
"
157,United Medicare Centre (UMC @ Elizabeth Drive),Private,www.unitedmedicare.com.sg,"United Medicare Centre was officially opened in 2003 by Minister of Health Khaw Boon Wan. Singapore's first purpose-built private nursing home initiated by the Ministry of Health, this 240 bedded Medicare Centre took 18 months from ground breaking to completion. That very same year, The United Medicare Centre was also approved as a provider for the portable subsidy scheme by the Ministry of Health in recognition of our work and commitment to provide the best healthcare services to our elderly residence.

At the United Medicare Centre, we are staffed by a group of committed healthcare professionals which includes doctors, nurses, therapists and support service teams. Our total medical staff is approximately 100 strong.","Befriending an elderly
Gardening activities
Haircutting
Sewing",Depends,Depends,NA,$0 ,UMC @ Elizabeth Drive,72 Elizabeth Drive,,Singapore 669745,Monday to Friday: 9am to 5pm,South West,edadmin@unitedmedicare.com.sg,6760 1555
158,Filos Community Services Ltd,Non-Profit ,www.filos.sg,A Voluntary Welfare Organisation for the effective functioning of individuals and families.,,Depends,Depends,NA,$0 ,Filos Community Services Ltd,56 New Upper Changi Road ,#01-1320 ,Singapore 461056 ,Not Provided,South East,info@filos.sg,6242 5978
159,Filos Community Services Ltd,Non-Profit ,www.filos.sg,A Voluntary Welfare Organisation for the effective functioning of individuals and families.,"Befriending the elderly, children, Organising wellness programme for the elderly: health talk, social outings, art & craft activity",4 times a month,half an hour,NA,<$100,Filos Community Services Ltd,56 New Upper Changi Road ,#01-1320 ,Singapore 461056 ,Not Provided,South East,info@filos.sg,6242 5978
160,Adventist Home for the Elders,Non-Profit ,http://www.adventisthome.org.sg/,"We are a sheltered home for the aged and elderly destitute - a voluntary welfare organization registered with the Ministry of Community Development, Youth and Sports, the Commissioner of Charities/National Council of Social Services as well as the Registrar of Societies. Since inception, we are supported by the Seventh-Day Adventist Chinese Church (located at 297 Thomson Road).
Regardless of race, language or religion, the Home currently provides care and shelter for some 38 residents.","Befriending, volunteering services for external organisations",Anytime there is a need for voluntary service,timing depends,NA,$0 ,Adventist Home for the Elders,Blk195 Kim Keat Avenue,#01-294 / 310 / 314 ,Singapore 310195,Monday to Friday: 9am to 6pm,Central,contact@adventisthome.org.sg,6258 1267
161,Age Management & Enrichment (AME College ????),Non-Profit ,http://amecollege.com.sg/,"AME is a lifelong learning institution in Singapore that caters specifically for the seniors above 45 years old. AME offer activity-based, fun, and exciting courses and activities of various interests, ranging from hobbies to professional courses to meet different individualsÕ needs. AME is supported by MCYS and Council for Third Age (C3A).","Certificate courses in areas of Self Renewal, Continuous Education, Performing Arts, Event Management, Entrepreneurship and Coaching.",Depends on modules,Depends on modules,Seniors above 45 years old, <$100 ,Age Management & Enrichment (AME College ????),12 Aljunied Road,"#06-01 / 01J / 2H, KH Plaza",Singapore 389801,Monday to Friday: 2pm to 7pm,South East,info@amecollege.com.sg,9107 7138 / 6284 4936
162,Joy Centre Neighbourhood Link,Non-Profit ,http://agcss.org.sg/,AGCSS conducts seminars and workshops and runs Joy Centre Neighbourhood Link.,"Gym, Treadmill Exercise, Daily Exercise Workout",Daily,3hours,50 Years old and above,$0 ,Joy Centre Neighbourhood Link ,Blk 701B Yishun Ave 5,#02-612,Singapore 762701,Not Provided,North West,joyctr@singnet.com.sgÊ/Êjoyctr@agcss.org.sg,6854 1363
163,Joy Centre Neighbourhood Link,Non-Profit ,http://agcss.org.sg/,AGCSS conducts seminars and workshops and runs Joy Centre Neighbourhood Link.,"Make Up Training Session, English Class, Malay Class, Cantonese Class, Tamil Conversational Class",Depends on Programmes,Depends on Programmes,50 Years old and above,$0 ,Joy Centre Neighbourhood Link ,Blk 701B Yishun Ave 5,#02-612,Singapore 762701,Not Provided,North West,joyctr@singnet.com.sgÊ/Êjoyctr@agcss.org.sg,6854 1363
164,InfoComm Development Authority (iDA) (Buona Vista Community Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 and above,<$100,Buona Vista Community Club,Blk 36 Holland Drive,#01-01,Singapore 270036,Not Provided,Central,Not Provided,6773 1283
165,InfoComm Development Authority (iDA) (Centre of Activity and Recreation for the Elders),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Centre of Activity and Recreation for the Elders,Blk 531 Upper Cross Street,#04-40A,Singapore 050531,Not Provided,Central,Not Provided,6533 1010
166,InfoComm Development Authority (iDA) (Chinese Development Assistance Council (CDAC) @ Bukit Panjang),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Chinese Development Assistance Council (CDAC) @ Bukit Panjang,Blk 270 Bangkit Road,#01-22,Singapore 670270,Not Provided,North West,Not Provided,6603 5566
167,InfoComm Development Authority (iDA) (Eunos Community Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Eunos Community Club,180 Bedok Reservoir Road,,Singapore 479220,Not Provided,South East,Not Provided,6448 6971
168,InfoComm Development Authority (iDA) (i-Clickz Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,i-Clickz Club,5 Tampines Avenue 3,Tampines West Community Club,Singapore 529705,Not Provided,South East,Not Provided,6784 0567
169,InfoComm Development Authority (iDA) (Kampong Kembangan Community Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Kampong Kembangan Community Club,5 Lengkong Tiga,,Singapore 417408,Not Provided,South East,Not Provided,6449 6022
170,InfoComm Development Authority (iDA) (Paya Lebar Kovan Community Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Paya Lebar Kovan Community Club,207 Hougang Street 21,,Singapore 530207,Not Provided,North East,Not Provided,6284 4261
171,InfoComm Development Authority (iDA) (Radin Mas Community Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Radin Mas Community Club,1 Telok Blangah Crescent,,Singapore 098915,Not Provided,Central,Not Provided,6273 5294
172,InfoComm Development Authority (iDA) (RSVP Singapore),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,RSVP Singapore,9 Bishan Place,"#08-02
Junction 8 Shopping Centre",Singapore 579837,Not Provided,Central,Not Provided,6259 0802
173,InfoComm Development Authority (iDA) (Woodlands Regional Library),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,50 Years old and above,<$100,Woodlands Regional Library,900 South Woodlands Drive,"#01-03
Woodlands Civic Centre",Singapore 730900,Not Provided,North West,Not Provided,6332 3255
174,InfoComm Development Authority (iDA) (Zhenghua Community Club),Non-Profit ,http://www.ida.gov.sg/Individuals-and-Community/Tips-and-Guides-for-Consumers/IT-for-Seniors,"In Singapore's fast-greying society, infocomm technology can play an important role in helping the elderly continue to contribute meaningfully to society, stay actively connected with their family and the community, and not be left behind in our digital society. Customised infocomm training programmes will be conducted for the elderly, by the elderly, to promote greater infocomm awareness among senior citizens who are less tech-savvy.",Silver Infocomm Curriculum: Affordable infocomm training and customized curriculum for seniors,Depends on SIJ,Depends on SIJ,60 and above,<$100,Zhenghua Community Club,1 Segar Road,,Singapore 677738,Not Provided,North West,Not Provided,6310 6702
175,Indus-Moral Care Centre,Non-Profit ,http://www.thkmc.org.sg/indus-moral-care/,"Indus Moral CARE was officially opened on 24 November 2000 by Mr Wong Kan Seng, then Minister for Home Affairs and Dr Lily Neo, Member of Parliament, Kreta-Ayer-Kim Seng GRC and Advisor to the Centre. CARE stands for Centre of Activity for Retired and Elderly and serves the poor and needy senior citizens of Blk 79 and neighbouring blocks. Up to date, approximately 250 clients are registered with the Centre.

The Centre is a joint project between the Ministry of Community Development, Youth and Sports (MCYS), Housing Development Board (HDB), Kim Seng Grassroots Organisation and Thye Hua Kwan Moral Society and aims to improve the living conditions of the elderly residents of HDB Rental Flats in the Constituency.

50% of expenditure is funded by MCYS and the rest contributed by Thye Hua Kwan Moral Society. Sometimes, kind donors make contributions in cash and kind for various functions and celebrations.","Helping to monitor of blood pressure, distribution of food and rations to families",Daily,Depends,NA,$0 ,Indus-Moral Care Centre,Blk 79 Indus Road ,#01-451,Singapore 161079,"Monday to Friday :
9am to 5.30pm

Saturday :
9am to 1pm

Sunday :
Alternate Sundays",Central,indussac@thkmc.org.sg,6276 3283
